Date,Close/Last,Volume,Open,High,Low,sentiment
2018-03-07,22.1533,75029062,21.696,22.1667,21.4493,0.0844177083333333
2018-03-08,21.94,52715479,22.1907,22.22,21.7516,0.0536364077669902
2018-03-09,21.8113,82541644,21.6067,21.8993,21.4913,0.0724565632458233
2018-03-12,23.034,123793723,21.9073,23.1473,21.7667,0.0911120071684587
2018-03-13,22.7893,89409495,22.9947,23.008,22.4176,0.114999537037037
2018-03-14,21.7753,119282220,22.4507,22.654,21.5953,0.0461432267884322
2018-03-15,21.7067,98318471,21.9587,22.19,21.4067,0.0982709606986899
2018-03-16,21.4233,91700429,21.7307,21.8267,21.2713,0.1106811320754717
2018-03-19,20.904,112018294,21.1,21.3833,20.6447,0.0178798370672097
2018-03-20,20.7033,71415429,20.9913,21.0833,20.584,0.077837912087912
2018-03-21,21.102,89313660,20.6833,21.496,20.6793,0.105063671875
2018-03-22,20.6067,73873883,20.926,21.2547,20.5453,0.1566182008368201
2018-03-23,20.1027,99599350,20.75,20.774,20.03,0.1338497382198953
2018-03-26,20.2787,125473992,20.4893,20.506,19.424,0.0971647058823529
2018-03-27,18.612,206805797,20.2667,20.2847,18.4787,0.0417980529595015
2018-03-28,17.1853,314434043,17.6387,17.912,16.8067,0.0458949181253529
2018-03-29,17.742,225216487,17.0993,18.064,16.5473,0.0457445685909373
2018-04-02,16.832,241399229,17.084,17.3555,16.306,0.0162024585125998
2018-04-03,17.8353,282444609,17.988,18.2233,16.966,0.0548447731755424
2018-04-04,19.1293,298202551,16.852,19.2247,16.8,0.0925672772689425
2018-04-05,20.3813,285387757,19.2893,20.4173,19.2133,0.0730035789473684
2018-04-06,19.9533,202747849,20.0667,20.6187,19.7,0.0567610142630744
2018-04-09,19.3107,153621073,20.0247,20.6333,19.2807,0.0720568862275449
2018-04-10,20.3133,165255067,19.9313,20.4733,19.5787,0.1363743362831858
2018-04-11,20.062,112053004,20.0493,20.5987,19.9773,0.1079977307110438
2018-04-12,19.6053,113932818,20.1547,20.2633,19.5787,0.064244923857868
2018-04-13,20.0227,109788320,20.24,20.2633,19.732,0.0916309359605911
2018-04-16,19.414,94342408,19.9333,19.9773,19.2673,0.01707136
2018-04-17,19.1793,103967228,19.258,19.478,18.834,0.0646464879852125
2018-04-18,19.5567,97973396,19.4053,20.016,19.2107,0.083356662665066
2018-04-19,20.0053,91256954,19.4053,20.0673,19.2367,0.0446968911917098
2018-04-20,19.3493,84339408,19.678,19.9987,19.3167,0.0530655642023346
2018-04-23,18.8913,73211108,19.4193,19.4413,18.822,0.0808993243243243
2018-04-24,18.8973,85173587,19.0,19.1393,18.564,0.0889457700650759
2018-04-25,18.7127,60006285,18.9,19.0107,18.4833,0.1252360655737704
2018-04-26,19.032,65221587,18.5833,19.0527,18.4333,0.0596222426470588
2018-04-27,19.605,65202777,19.0247,19.6313,18.922,0.0832187399030694
2018-04-30,19.5933,63360988,19.574,19.9153,19.5,0.0762879245283018
2018-05-01,19.9947,69224155,19.5673,20.0547,19.548,0.07930413354531
2018-05-02,20.0767,125192577,19.9047,20.4567,19.8523,0.0643432842287695
2018-05-03,18.9633,260086220,18.586,19.2027,18.3487,0.0334423442014032
2018-05-04,19.606,128482526,18.8667,19.7907,18.6347,0.06205090765588
2018-05-07,20.1847,130096285,19.8333,20.3973,19.678,0.1113955964771817
2018-05-08,20.1313,88911661,20.053,20.5167,19.9333,0.0893269461077844
2018-05-09,20.4567,85683782,20.0273,20.4673,20.0033,0.0596607238605898
